id,unit,variant,english,english_alt_response,variant_text,variant_alt_response,audioKey,Filled or not,context_badge,extra_yes_or_no,extra_details,link
u01_w0001,u01,lf,Hello!,"""Hi!""",Bonjour!,,u01_w0001_lf,,,,,
u01_w0002,u01,lf,How’s it going?,"""How are things going?""",Comment ça va?,,u01_w0002_lf,,,,,
u01_w0003,u01,lf,Are things okay?,"""Are you okay?""",Ça va?,,u01_w0003_lf,,,,,
u01_w0004,u01,lf,Things are okay.,,Ça va.,,u01_w0004_lf,,,,,
u01_w0005,u01,lf,It’s going well!,"""Things are going well!""",Ça va bien!,,u01_w0005_lf,,,,,
u01_w0006,u01,lf,It’s going badly!,"""Things are going badly!""",Ça va mal!,,u01_w0006_lf,,,,,
u01_w0007,u01,lf,It’ll do.,,Ça peut faire.,,u01_w00005_cajun,u01_w0007_lf,,,,
u01_w0008,u01,lf,How are things?,,Comment les affaires?,,u01_w0008_lf,,,Y,"Literally: ""How the things?""",
u01_w0009,u01,lf,It's not going too well.,"""Things aren't going too well.""",Ça va pas trop bien.,,u01_w0009_lf,,,,,
u01_w0010,u01,lf,It's going really well!,"""Things are going really well!""",Ça va beaucoup bien!,,u01_w0010_lf,,,,,
u01_w0011,u01,lf,It’s wonderful!,,C’est magnifique!,,u01_w00010_cajun,u01_w0011_lf,,,,
u01_w0012,u01,lf,Thank you!,"""Thanks!""",Merci!,,u01_w0012_lf,,,,,
u01_w0013,u01,lf,What’s up?,,Quoi ça dit?,,u01_w0013_lf,,,Y,"Literally: ""What do they say?""",
u01_w0014,u01,lf,Not much.,,Pas grand-chose.,,u01_w0014_lf,,,Y,"Some speakers may pronounce *chose* more like ""choge""",
u01_w0015,u01,lf,Not a lot.,,Pas beaucoup.,,u01_w0015_lf,,,,,
u01_w0016,u01,lf,And you?,,Et toi?,,u01_w00016_cajun,u01_w0016_lf,,,,
u01_w0017,u01,lf,And y’all?,,Et vous-autres?,,,u01_w0017_lf,,,,
