id,unit,variant,english,english_alt_response,variant_text,variant_pronunciation,variant_alt_response,Speaker,audioKey,context_badge,extra_yes_or_no,extra_details,link
u01_w0001,u01,kv,Hello,Good Day,Bonjou,,,Taalib,u01_w0001_kreole,,,,
u01_w0002,u01,kv,How is it going?,,Komen ç'apé kouri?,,,Lauren Richard ,u01_w0002_kreole,,,,
u01_w0003,u01,kv,How goes it?,,Komen ça va?,,,Alexandre Leblanc,u01_w0003_kreole,,,,
u01_w0004,u01,kv,it's going,,Ç'apé kouri,,,Taalib,u01_w0004_kreole,,,,
u01_w0005,u01,kv,what's up?,,Ça ina?,,,Taalib,u01_w0005_kreole,,,,
u01_w0006,u01,kv ,Good morning,,Bon matin,,,Taalib,u01_w0006_kreole,,,,
u01_w0007,u01 ,kv,How are you?,,Komen to yê?,,,Aliza,u01_w0007_kreole,,,,
u01_w0008,u01,kv,Good night (not commonly used),,Bonnwi,,,Taalib,u01_w0008_kreole,,,,
u01_w0009,u01,kv,Good evening,Good night,Bonswa,,,Taalib,u01_w0009_kreole,,,,
u01_w0010,u01,kv,I'm good,,Mo byin,,,Aliza,u01_w0010_kreole,,,,
u01_w0011,u01,kv ,I'm not good,,Mo pa byin,,,Lauren Richard ,u01_w0011_kreole,,,,
u01_w0012,u01,kv,We'll see each other later,,N'a wa pli tar,,,Chaoui Leblanc,u01_w0012_kreole,,,,
u02_w0001,u02,kv,I,,Mo,,,Taalib,u02_w0001_kreole,,,,
u02_w0002,u02,kv,You,,To,,,Lauren Richard,u02_w0002_kreole,,,,
u02_w0003,u02,kv,"He, She, it",,Li,,,Taalib,u02_w0003_kreole,,,,
u02_w0004,u02,kv,"You (pl.), Y'all ",,"Vou, Vouzòt, Zòt",,,Taalib,u02_w0004_kreole,,,,
u02_w0005,u02,kv,We,,"No, Nou, Nouzòt",,,Alexandre Leblanc,u02_w0005_kreole,,,,
u02_w0006,u02,kv,They,,Yé,,,Jermaine,u02_w0006_kreole,,,,
u02_w0007,u02,kv,You are happy,,To konten,,,Taalib,u02_w0007_kreole,,,,
u02_w0008,u02,kv ,I am sick,,Mo malad,,,Aliza,u02_w0008_kreole,,,,
u02_w0009,u02,kv,They are tired,,Yé las,,,Aliza,u02_w0009_kreole,,,,
u02_w0010,u02,kv,We are sad,,Nou tris,,,Alexandre Leblanc,u02_w0010_kreole,,,,
u02_w0011,u02,kv,She is curious,,Li kiriyé ,,,Taalib,u02_w0011_kreole,,,,
u02_w0012,u02,kv,out of sorts,,Kagou,,,Chaoui Leblanc,u02_w0012_kreole,,,,
